id,branch_code,official_name,display_name,search_group
1,0100219110,Civil Engineering,Civil Engineering,
2,0100224610,Information Technology,Information Technology,
3,0100229310,Electrical Engineering,Electrical Engineering,
4,0100237210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
5,0100246610,Instrumentation Engineering,Instrumentation Engineering,
6,0100261210,Mechanical Engineering,Mechanical Engineering,
7,0100550310,Food Technology,Food Technology,
8,0100551710,Oil and Paints Technology,Oil and Paints Technology,
9,0100552410,Paper and Pulp Technology,Paper and Pulp Technology,
10,0100552710,Petro Chemical Engineering,Petro Chemical Engineering,
11,0101219110,Civil Engineering,Civil Engineering,
12,0101224510,Computer Engineering,Computer Engineering,
13,0101229310,Electrical Engineering,Electrical Engineering,
14,0101237210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
15,0101261210,Mechanical Engineering,Mechanical Engineering,
16,0110124210,Computer Science and Engineering,Computer Science and Engineering,
17,0110124610,Information Technology,Information Technology,
18,0110135610,Electrical Engg[Electronics and Power],Electrical Engg[Electronics and Power],
19,0110137210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
20,0110161210,Mechanical Engineering,Mechanical Engineering,
21,0110519110,Civil Engineering,Civil Engineering,
22,0110524210,Computer Science and Engineering,Computer Science and Engineering,
23,0110524610,Information Technology,Information Technology,
24,0110526310,Artificial Intelligence (AI) and Data Science,Artificial Intelligence (AI) and Data Science,
25,0110537210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
26,0110561210,Mechanical Engineering,Mechanical Engineering,
27,0110719110,Civil Engineering,Civil Engineering,
28,0110724210,Computer Science and Engineering,Computer Science and Engineering,
29,0110729310,Electrical Engineering,Electrical Engineering,
30,0110737210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
31,0110761210,Mechanical Engineering,Mechanical Engineering,
32,0110799510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
33,0111419110,Civil Engineering,Civil Engineering,
34,0111424210,Computer Science and Engineering,Computer Science and Engineering,
35,0111424610,Information Technology,Information Technology,
36,0111437210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
37,0111461210,Mechanical Engineering,Mechanical Engineering,
38,0111619110,Civil Engineering,Civil Engineering,
39,0111624210,Computer Science and Engineering,Computer Science and Engineering,
40,0111650710,Chemical Engineering,Chemical Engineering,
41,0111661210,Mechanical Engineering,Mechanical Engineering,
42,0111719110,Civil Engineering,Civil Engineering,
43,0111724210,Computer Science and Engineering,Computer Science and Engineering,
44,0111735610,Electrical Engg[Electronics and Power],Electrical Engg[Electronics and Power],
45,0111761210,Mechanical Engineering,Mechanical Engineering,
46,0111799510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
47,0111924210,Computer Science and Engineering,Computer Science and Engineering,
48,0111924610,Information Technology,Information Technology,
49,0111937210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
50,0111950710,Chemical Engineering,Chemical Engineering,
51,0111961210,Mechanical Engineering,Mechanical Engineering,
52,0112019110,Civil Engineering,Civil Engineering,
53,0112024210,Computer Science and Engineering,Computer Science and Engineering,
54,0112029310,Electrical Engineering,Electrical Engineering,
55,0112037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
56,0112050710,Chemical Engineering,Chemical Engineering,
57,0112061210,Mechanical Engineering,Mechanical Engineering,
58,0112089310,Textile Engineering / Technology,Textile Engineering / Technology,
59,0112124210,Computer Science and Engineering,Computer Science and Engineering,
60,0112124610,Information Technology,Information Technology,
61,0112137210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
