id,name,district,region
1,Amravati,Amravati,Amravati
2,Yavatmal,Yavatmal,Amravati
3,Buldhana,Buldhana,Amravati
4,Akola,Akola,Amravati
5,Washim,Washim,Amravati
6,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Aurangabad
7,Nanded,Nanded,Aurangabad
8,Latur,Latur,Aurangabad
9,Dharashiv,Dharashiv,Aurangabad
10,Beed,Beed,Aurangabad
11,Jalna,Jalna,Aurangabad
12,Parbhani,Parbhani,Aurangabad
13,Mumbai City,Mumbai City,Mumbai
14,Mumbai Suburban,Mumbai Suburban,Mumbai
15,Raigad,Raigad,Mumbai
16,Ratnagiri,Ratnagiri,Mumbai
17,Thane,Thane,Mumbai
18,Palghar,Palghar,Mumbai
19,Sindhudurg,Sindhudurg,Mumbai
20,Chandrapur,Chandrapur,Nagpur
21,Nagpur,Nagpur,Nagpur
22,Wardha,Wardha,Nagpur
23,Bhandara,Bhandara,Nagpur
24,Jalgaon,Jalgaon,Nashik
25,Dhule,Dhule,Nashik
26,Nashik,Nashik,Nashik
27,Ahilyanagar,Ahilyanagar,Nashik
28,Nandurbar,Nandurbar,Nashik
29,Pune,Pune,Pune
30,Satara,Satara,Pune
31,Sangli,Sangli,Pune
32,Kolhapur,Kolhapur,Pune
33,Solapur,Solapur,Pune
