id,academic_year,admission_route,cap_round,quota,source_filename,source_url,file_hash,status
1,2023-24,FE,1,MH,FE_2023_CAP1_MH.pdf,,bfc7d719f7e644ce0caecf9be61ec443e443e5cba70f967b89500fa766b84775,VERIFIED
2,2023-24,FE,2,MH,FE_2023_CAP2_MH.pdf,,0a69701c97ac54f213df3dfa4d3728ab9f02a4ba8d35bdb6368a65a9375aba8a,VERIFIED
3,2023-24,FE,3,MH,FE_2023_CAP3_MH.pdf,,e7dde7c3b7f69a424ac1682e39493690dfbd917d840f5a5d87b095399ed01c30,VERIFIED
4,2024-25,FE,1,MH,FE_2024_CAP1_MH.pdf,,d076efd3b9204c6aa566198b5121b134359c218c706e67515076598c19578df6,VERIFIED
5,2024-25,FE,2,MH,FE_2024_CAP2_MH.pdf,,178327179193631952f63293354abe60ac25424266d2a0f50ab198faa93d9c6e,VERIFIED
6,2024-25,FE,3,MH,FE_2024_CAP3_MH.pdf,,fcb486a35a9c4f685936551a3e85bac7fda4dcc32c2dd1ab1fd66215519cf6c1,VERIFIED
7,2025-26,FE,1,MH,FE_2025_CAP1_MH.pdf,,973c1ff9cb7251f22d948f7dd5bea18e5aeba63fed6ebd5f62b521320e923a50,VERIFIED
8,2025-26,FE,2,MH,FE_2025_CAP2_MH.pdf,,cd09d379d3925ce4c51052329b1ac4f17128b54f995ded61eaafa1da5f5104ab,VERIFIED
9,2025-26,FE,3,MH,FE_2025_CAP3_MH.pdf,,477d7acc2fe2ecf0ac353a4a23a4e0c551e9de32c55e8ac5f41b8872d173d620,VERIFIED
10,2025-26,FE,4,MH,FE_2025_CAP4_MH.pdf,,bbce7eaf8d0e00ada42699e6ade712ce9566c887ce4e8f5afa2c24a9dd6a65fa,VERIFIED
