id,code,category,gender,university_type,special_type
1,GOPENS,OPEN,GENERAL,STATE,
2,GSCS,SC,GENERAL,STATE,
3,GSTS,ST,GENERAL,STATE,
4,GVJS,VJ,GENERAL,STATE,
5,GNT1S,NT1,GENERAL,STATE,
6,GNT2S,NT2,GENERAL,STATE,
7,GNT3S,NT3,GENERAL,STATE,
8,GOBCS,OBC,GENERAL,STATE,
9,LOPENS,OPEN,LADIES,STATE,
10,LSCS,SC,LADIES,STATE,
11,LSTS,ST,LADIES,STATE,
12,LVJS,VJ,LADIES,STATE,
13,LNT1S,NT1,LADIES,STATE,
14,LNT2S,NT2,LADIES,STATE,
15,LNT3S,NT3,LADIES,STATE,
16,LOBCS,OBC,LADIES,STATE,
17,PWDOPENS,OPEN,SPECIAL,STATE,
18,DEFOPENS,OPEN,SPECIAL,STATE,
19,TFWS,TFWS,SPECIAL,STATE,
20,EWS,EWS,SPECIAL,STATE,
21,PWDRSCS,SC,SPECIAL,STATE,
22,DEFROBCS,OBC,SPECIAL,STATE,
23,GOPENH,OPEN,GENERAL,HOME,
24,GSCH,SC,GENERAL,HOME,
25,GVJH,VJ,GENERAL,HOME,
26,GNT1H,NT1,GENERAL,HOME,
27,GOBCH,OBC,GENERAL,HOME,
28,LOPENH,OPEN,LADIES,HOME,
29,LOBCH,OBC,LADIES,HOME,
30,GOPENO,OPEN,GENERAL,OTHER,
31,GSCO,SC,GENERAL,OTHER,
32,GNT3O,NT3,GENERAL,OTHER,
33,GOBCO,OBC,GENERAL,OTHER,
34,LOPENO,OPEN,LADIES,OTHER,
35,LSCH,SC,LADIES,HOME,
36,GNT2H,NT2,GENERAL,HOME,
37,GNT3H,NT3,GENERAL,HOME,
38,LNT1H,NT1,LADIES,HOME,
39,GSTH,ST,GENERAL,HOME,
40,LSTH,ST,LADIES,HOME,
41,GNT2O,NT2,GENERAL,OTHER,
42,LSTO,ST,LADIES,OTHER,
43,LOBCO,OBC,LADIES,OTHER,
44,LNT3H,NT3,LADIES,HOME,
45,PWDOPENH,OPEN,SPECIAL,HOME,
46,PWDROBCH,OBC,SPECIAL,HOME,
47,GSTO,ST,GENERAL,OTHER,
48,GVJO,VJ,GENERAL,OTHER,
49,LSCO,SC,LADIES,OTHER,
50,LNT2O,NT2,LADIES,OTHER,
51,LNT2H,NT2,LADIES,HOME,
52,LVJO,VJ,LADIES,OTHER,
53,LNT3O,NT3,LADIES,OTHER,
54,LVJH,VJ,LADIES,HOME,
55,LNT1O,NT1,LADIES,OTHER,
56,GNT1O,NT1,GENERAL,OTHER,
57,PWDOBCS,OBC,SPECIAL,STATE,
58,DEFOBCS,OBC,SPECIAL,STATE,
59,PWDROBCS,OBC,SPECIAL,STATE,
60,DEFRSCS,SC,SPECIAL,STATE,
61,ORPHAN,ORPHAN,SPECIAL,STATE,
62,DEFRNT3S,NT3,SPECIAL,STATE,
63,DEFRNT2S,NT2,SPECIAL,STATE,
64,PWDRNT2S,NT2,SPECIAL,STATE,
65,PWDSCS,SC,SPECIAL,STATE,
66,DEFSCS,SC,SPECIAL,STATE,
67,PWDRSCH,SC,SPECIAL,HOME,
68,DEFRNT1S,NT1,SPECIAL,STATE,
69,PWDRNT1S,NT1,SPECIAL,STATE,
70,PWDRSTS,ST,SPECIAL,STATE,
71,PWDRNT3S,NT3,SPECIAL,STATE,
72,DEFRVJS,VJ,SPECIAL,STATE,
73,PWDOBCH,OBC,SPECIAL,HOME,
74,PWDRNT2H,NT2,SPECIAL,HOME,
75,PWDSCH,SC,SPECIAL,HOME,
76,PWDRNT1H,NT1,SPECIAL,HOME,
77,PWDRSTH,ST,SPECIAL,HOME,
78,PWDRVJH,VJ,SPECIAL,HOME,
79,DEFRSTS,ST,SPECIAL,STATE,
80,GSEBCS,SEBC,GENERAL,STATE,
81,LSEBCS,SEBC,LADIES,STATE,
82,GSEBCH,SEBC,GENERAL,HOME,
83,LSEBCH,SEBC,LADIES,HOME,
84,GSEBCO,SEBC,GENERAL,OTHER,
85,LSEBCO,SEBC,LADIES,OTHER,
86,DEFSEBCS,SEBC,SPECIAL,STATE,
87,DEFRSEBCS,SEBC,SPECIAL,STATE,
88,PWDSEBCS,SEBC,SPECIAL,STATE,
89,PWDRSEBCH,SEBC,SPECIAL,HOME,
90,PWDRVJS,VJ,SPECIAL,STATE,
91,DEFSTS,ST,SPECIAL,STATE,
92,PWDSTS,ST,SPECIAL,STATE,
93,PWDSEBCH,SEBC,SPECIAL,HOME,
94,MI,MINORITY,GENERAL,STATE,
