id,name
1,Sant Gadge Baba Amravati University
2,Dr. Babasaheb Ambedkar Marathwada University
3,"Swami Ramanand Teerth Marathwada University, Nanded"
4,Mumbai University
5,Rashtrasant Tukadoji Maharaj Nagpur University
6,Autonomous Institute
7,Gondwana University
8,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon"
9,Savitribai Phule Pune University
10,Shivaji University
11,Punyashlok Ahilyadevi Holkar Solapur University
12,"Dr. Babasaheb Ambedkar Technological University,Lonere"
13,Deemed to be University
14,SNDT Women's University
