"file","academic_year","cap_round","pages_processed","colleges_found","branches_found","cutoff_records","valid_records","records_needing_review","duplicate_records"
"FE_2023_CAP1_MH.pdf","2023-24","1","1485","332","1848","23919","19390","4529","1332"
"FE_2023_CAP2_MH.pdf","2023-24","2","1365","336","1784","20932","4232","16700","5631"
"FE_2023_CAP3_MH.pdf","2023-24","3","1216","336","1743","12278","4681","7597","2656"
"FE_2024_CAP1_MH.pdf","2024-25","1","1590","349","2007","31690","24879","6811","1673"
"FE_2024_CAP2_MH.pdf","2024-25","2","1545","352","1972","30589","4398","26191","9544"
"FE_2024_CAP3_MH.pdf","2024-25","3","1393","354","1962","16524","5150","11374","3750"
"FE_2025_CAP1_MH.pdf","2025-26","1","1566","368","2134","34422","26413","8009","1634"
"FE_2025_CAP2_MH.pdf","2025-26","2","1516","370","2107","33245","4485","28760","10221"
"FE_2025_CAP3_MH.pdf","2025-26","3","1359","369","2077","17790","5261","12529","3904"
"FE_2025_CAP4_MH.pdf","2025-26","4","1234","371","2036","13557","4749","8808","2759"
