academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,0100219110,Civil Engineering,60,60,0,0,0,1,6,0100219111,3,FE_2024_SeatMatrix.pdf,1,false,
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,0100224210,Computer Science and Engineering,60,60,0,0,0,1,6,0100224211,3,FE_2024_SeatMatrix.pdf,2,false,
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,0100224610,Information Technology,60,60,0,0,0,1,6,0100224611,3,FE_2024_SeatMatrix.pdf,3,false,
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,0100229310,Electrical Engineering,60,60,0,0,0,1,6,0100229311,3,FE_2024_SeatMatrix.pdf,4,false,
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,0100237210,Electronics and Telecommunication Engg,60,60,0,0,0,1,6,0100237211,3,FE_2024_SeatMatrix.pdf,5,false,
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,30,0100246610,Instrumentation Engineering,30,30,0,0,0,0,3,0100246611,2,FE_2024_SeatMatrix.pdf,6,false,
2024-25,FE,01002,"Government College of Engineering, Amravati",Government Autonomous,Government,true,60,0100261210,Mechanical Engineering,60,60,0,0,0,1,6,0100261211,3,FE_2024_SeatMatrix.pdf,7,false,
2024-25,FE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,120,0110519110,Civil Engineering,120,102,0,18,0,1,12,0110519111,6,FE_2024_SeatMatrix.pdf,8,false,
2024-25,FE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,144,0110524210,Computer Science and Engineering,180,117,0,27,36,1,18,0110524211,9,FE_2024_SeatMatrix.pdf,9,false,
2024-25,FE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided Autonomous,Un-Aided,true,96,0110524610,Information Technology,120,78,0,18,24,1,12,0110524611,6,FE_2024_SeatMatrix.pdf,10,false,
