academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GOPENS,OPEN,GENERAL,STATE,I,,37591,,88.9550679,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GSCS,SC,GENERAL,STATE,I,,58518,,82.3322294,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GSTS,ST,GENERAL,STATE,I,,94334,,69.4936445,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GVJS,VJ,GENERAL,STATE,I,,44057,,86.9194446,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GNT1S,NT1,GENERAL,STATE,I,,48422,,85.5729148,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GNT2S,NT2,GENERAL,STATE,I,,41549,,87.6872170,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GNT3S,NT3,GENERAL,STATE,I,,50563,,84.8736599,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GOBCS,OBC,GENERAL,STATE,I,,44130,,86.9194446,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,62247,,81.1295102,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LOPENS,OPEN,LADIES,STATE,I,,30071,,91.1459607,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LSCS,SC,LADIES,STATE,I,,45170,,86.6223776,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LSTS,ST,LADIES,STATE,I,,49208,,85.2215842,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LVJS,VJ,LADIES,STATE,I,,66707,,79.6986029,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LNT2S,NT2,LADIES,STATE,I,,62338,,81.1295102,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LOBCS,OBC,LADIES,STATE,I,,41127,,87.9159305,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,LSEBCS,SEBC,LADIES,STATE,I,,69477,,78.6137148,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,131331,,53.6060165,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,PWDOBCS,OBC,SPECIAL,STATE,I,,197856,,7.1701886,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,47707,,85.8501253,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,DEFOBCS,OBC,SPECIAL,STATE,I,,85223,,73.2612864,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,TFWS,TFWS,SPECIAL,STATE,I,,37350,,88.9773781,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,PWDRSCS,SC,SPECIAL,STATE,I,,200074,,4.5709952,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,DEFROBCS,OBC,SPECIAL,STATE,I,,95765,,69.0979021,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,ORPHAN,ORPHAN,SPECIAL,STATE,I,,179315,,23.4132019,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,Autonomous Institute,STATE,EWS,EWS,SPECIAL,STATE,I,,90389,,71.4755245,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,false,
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GOPENS,OPEN,GENERAL,STATE,I,,9196,,97.3737374,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GSCS,SC,GENERAL,STATE,I,,18016,,94.7837750,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GSTS,ST,GENERAL,STATE,I,,46829,,85.9646097,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GVJS,VJ,GENERAL,STATE,I,,12192,,96.5118421,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GNT1S,NT1,GENERAL,STATE,I,,20440,,94.0716041,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GNT2S,NT2,GENERAL,STATE,I,,15590,,95.5372663,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GOBCS,OBC,GENERAL,STATE,I,,10583,,96.9659622,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,16679,,95.2142111,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LOPENS,OPEN,LADIES,STATE,I,,8473,,97.5647615,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LSCS,SC,LADIES,STATE,I,,25163,,92.6752061,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LSTS,ST,LADIES,STATE,I,,35441,,89.5868952,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LNT1S,NT1,LADIES,STATE,I,,15967,,95.4055944,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LNT3S,NT3,LADIES,STATE,I,,26110,,92.3826851,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LOBCS,OBC,LADIES,STATE,I,,10921,,96.8499656,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,LSEBCS,SEBC,LADIES,STATE,I,,15326,,95.6055328,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,51675,,84.5176078,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,PWDOBCS,OBC,SPECIAL,STATE,I,,98826,,68.1164395,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,DEFOPENS,OPEN,SPECIAL,STATE,I,,30524,,91.0510720,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,DEFOBCS,OBC,SPECIAL,STATE,I,,35641,,89.5128900,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,TFWS,TFWS,SPECIAL,STATE,I,,7401,,97.8664807,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,PWDROBC,OBC,SPECIAL,UNKNOWN,I,,93506,,70.2033567,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,DEFROBCS,OBC,SPECIAL,STATE,I,,40308,,88.0599617,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,ORPHAN,ORPHAN,SPECIAL,STATE,I,,59070,,82.1358690,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
2025-26,FE,1,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,Autonomous Institute,STATE,EWS,EWS,SPECIAL,STATE,I,,13724,,96.0638523,FE_2025_CAP1_MH.pdf,1,pdfplumber_text,false,true,COLUMN_ALIGNMENT_UNCERTAIN
