academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GOPENS,OPEN,GENERAL,STATE,I,,20757,,93.9883008,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GSCS,SC,GENERAL,STATE,I,,57956,,82.4521073,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GVJS,VJ,GENERAL,STATE,I,,74580,,76.9322569,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GNT2S,NT2,GENERAL,STATE,I,,73116,,77.2287062,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GOBCS,OBC,GENERAL,STATE,I,,32963,,90.3099038,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GSEBCS,SEBC,GENERAL,STATE,I,,25154,,92.6886627,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LOPENS,OPEN,LADIES,STATE,I,,18840,,94.5454545,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LSCS,SC,LADIES,STATE,I,,32032,,90.6221224,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LNT3S,NT3,LADIES,STATE,I,,107362,,64.3453843,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LOBCS,OBC,LADIES,STATE,I,,27794,,91.8528438,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,PWDOPENS,OPEN,SPECIAL,STATE,I,,172261,,28.9513426,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,TFWS,TFWS,SPECIAL,STATE,I,,14250,,95.9185080,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,66903,,79.6986029,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,GSTS,ST,GENERAL,STATE,VII,,22189,,93.5688239,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",0203290410,Chemical Engineering,University Managed Autonomous,,STATE,LSTS,ST,LADIES,STATE,VII,,20971,,93.8935512,FE_2025_CAP2_MH.pdf,105,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524270U,Computer Science and Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,GOPENH,OPEN,GENERAL,HOME,I,,25818,,92.4230769,FE_2025_CAP2_MH.pdf,256,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524270U,Computer Science and Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,LOPENH,OPEN,LADIES,HOME,I,,24641,,92.8376317,FE_2025_CAP2_MH.pdf,256,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524270U,Computer Science and Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME_FOR_OTHER,GOPENO,OPEN,GENERAL,OTHER,I,,36618,,89.1962092,FE_2025_CAP2_MH.pdf,256,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524270U,Computer Science and Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,MI,MINORITY,GENERAL,STATE,I,,32058,,90.6221224,FE_2025_CAP2_MH.pdf,256,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524270U,Computer Science and Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,TFWS,TFWS,SPECIAL,STATE,I,,25483,,92.5745163,FE_2025_CAP2_MH.pdf,256,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524570U,Computer Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,GOPENH,OPEN,GENERAL,HOME,I,,25255,,92.6563556,FE_2025_CAP2_MH.pdf,257,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524570U,Computer Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,LOPENH,OPEN,LADIES,HOME,I,,20807,,93.9467062,FE_2025_CAP2_MH.pdf,257,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524570U,Computer Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME_FOR_OTHER,GOPENO,OPEN,GENERAL,OTHER,I,,30151,,91.0820780,FE_2025_CAP2_MH.pdf,257,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524570U,Computer Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME_FOR_OTHER,LOPENO,OPEN,LADIES,OTHER,I,,40874,,87.9272878,FE_2025_CAP2_MH.pdf,257,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524570U,Computer Engineering,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,MI,MINORITY,GENERAL,STATE,I,,24298,,92.9202613,FE_2025_CAP2_MH.pdf,257,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524670U,Information Technology,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,GOPENH,OPEN,GENERAL,HOME,I,,30014,,91.2776413,FE_2025_CAP2_MH.pdf,258,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524670U,Information Technology,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,LOPENH,OPEN,LADIES,HOME,I,,29525,,91.3131313,FE_2025_CAP2_MH.pdf,258,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524670U,Information Technology,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME_FOR_OTHER,GOPENO,OPEN,GENERAL,OTHER,I,,47513,,85.8824755,FE_2025_CAP2_MH.pdf,258,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524670U,Information Technology,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME_FOR_OTHER,LOPENO,OPEN,LADIES,OTHER,I,,31914,,90.6536517,FE_2025_CAP2_MH.pdf,258,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524670U,Information Technology,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,MI,MINORITY,GENERAL,STATE,I,,49798,,85.1002266,FE_2025_CAP2_MH.pdf,258,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302524670U,Information Technology,Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,TFWS,TFWS,SPECIAL,STATE,I,,17894,,94.8202997,FE_2025_CAP2_MH.pdf,258,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302591170U,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,GOPENH,OPEN,GENERAL,HOME,I,,28084,,91.7521019,FE_2025_CAP2_MH.pdf,259,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302591170U,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME,LOPENH,OPEN,LADIES,HOME,I,,20165,,94.1659305,FE_2025_CAP2_MH.pdf,259,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302591170U,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Un-Aided Linguistic Minority - Gujarathi,Mumbai University,HOME_FOR_OTHER,GOPENO,OPEN,GENERAL,OTHER,I,,49687,,85.1139120,FE_2025_CAP2_MH.pdf,259,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302591170U,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,MI,MINORITY,GENERAL,STATE,I,,45606,,86.4120225,FE_2025_CAP2_MH.pdf,259,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,0302591170U,Computer Science and Engineering(Artificial Intelligence and Machine Learning),Un-Aided Linguistic Minority - Gujarathi,Mumbai University,STATE,TFWS,TFWS,SPECIAL,STATE,I,,20826,,93.9467062,FE_2025_CAP2_MH.pdf,259,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LOPENS,OPEN,LADIES,STATE,I,,25339,,92.6059167,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LSCS,SC,LADIES,STATE,I,,51352,,84.6215640,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LSTS,ST,LADIES,STATE,I,,195187,,9.8110718,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LVJS,VJ,LADIES,STATE,I,,103618,,65.8992965,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LNT2S,NT2,LADIES,STATE,I,,52901,,84.1131441,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LNT3S,NT3,LADIES,STATE,I,,34394,,89.8617670,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LOBCS,OBC,LADIES,STATE,I,,29122,,91.4450061,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,LSEBCS,SEBC,LADIES,STATE,I,,46263,,86.2326458,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
2025-26,FE,2,MH,03035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",0303524550F,Computer Engineering,University Managed (Un-Aided),,STATE,TFWS,TFWS,SPECIAL,STATE,I,,25009,,92.7190965,FE_2025_CAP2_MH.pdf,266,pdfplumber_table_review,true,false,
