academic_year,admission_route,cap_round,quota,institute_code,college_name,branch_code,branch_name,college_status,university,section,seat_type,category,gender,university_type,stage,opening_rank,closing_rank,opening_score,closing_score,source_file,source_page,extraction_method,verified,needs_review,review_reason
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100219110,Civil Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,3865,,89.74,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,1,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,,STATE,GST,ST,GENERAL,STATE,I,,22206,,79.56,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,1,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,,STATE,GOBC,OBC,GENERAL,STATE,I,,934,,93.32,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,1,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224210,Computer Science and Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,2387,,91.21,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,1,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,GOPEN,OPEN,GENERAL,STATE,I,,1379,,92.57,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,GOBC,OBC,GENERAL,STATE,I,,1421,,92.50,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,LOPEN,OPEN,LADIES,STATE,I,,1280,,92.74,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,2943,,90.57,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100224610,Information Technology,Government Autonomous,,STATE,LST,ST,LADIES,STATE,II,,29972,,76.23,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GOPEN,OPEN,GENERAL,STATE,I,,1815,,91.94,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,Government Autonomous,,STATE,GST,ST,GENERAL,STATE,I,,26464,,77.72,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,2,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,Government Autonomous,,STATE,GOBC,OBC,GENERAL,STATE,I,,3499,,90.06,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,3,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,,STATE,LOPEN,OPEN,LADIES,STATE,I,,5068,,88.76,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,3,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100246610,Instrumentation Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,3918,,89.71,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,3,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,,STATE,GOBC,OBC,GENERAL,STATE,I,,2723,,90.82,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,,STATE,LOPEN,OPEN,LADIES,STATE,I,,5941,,88.11,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,,STATE,LOBC,OBC,LADIES,STATE,I,,13777,,83.53,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,,STATE,LSEBC,SEBC,LADIES,STATE,I,,18252,,81.33,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01002,"Government College of Engineering, Amravati",0100261210,Mechanical Engineering,Government Autonomous,,STATE,EWS,EWS,SPECIAL,STATE,I,,12648,,84.10,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,,STATE,GOPEN,OPEN,GENERAL,STATE,I,,36323,,73.55,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,,STATE,LOPEN,OPEN,LADIES,STATE,I,,35898,,73.73,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,,STATE,GSC,SC,GENERAL,STATE,VII,,38163,,72.73,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
2025-26,DSE,2,MH,01005,"Sant Gadge Baba Amravati University,Amravati",0100550310,Food Technology,University Department,,STATE,GST,ST,GENERAL,STATE,VII,,38789,,72.45,DSE_CAP_ROUND_II_CUTOFF_2025_26.pdf,4,pdfplumber_text,false,false,
